"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"41440","SALTA",3067,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"2B"
"41441","SALTA",3067,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",1,"1",2007,"2B"
"41445","SALTA",3067,"GOBERNADOR","PARTIDO DEL OBRERO",8,"1",2007,"2B"
"41446","SALTA",3067,"DIPUTADO","PARTIDO DEL OBRERO",9,"1",2007,"2B"
"41449","SALTA",3067,"DIPUTADO","VECINOS UNIDOS",0,"1",2007,"2B"
"41451","SALTA",3067,"GOBERNADOR","PARTIDO NUEVA GENERACION",3,"1",2007,"2B"
"41452","SALTA",3067,"DIPUTADO","PARTIDO NUEVA GENERACION",3,"1",2007,"2B"
"41457","SALTA",3067,"GOBERNADOR","PROPUESTA SALTENA",14,"1",2007,"2B"
"41458","SALTA",3067,"DIPUTADO","PROPUESTA SALTENA",15,"1",2007,"2B"
"41466","SALTA",3067,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",106,"1",2007,"2B"
"41467","SALTA",3067,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",20,"1",2007,"2B"
"41470","SALTA",3067,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",2,"1",2007,"2B"
"41471","SALTA",3067,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",2,"1",2007,"2B"
"41474","SALTA",3067,"GOBERNADOR","CONCERTACION SALTENA",6,"1",2007,"2B"
"41475","SALTA",3067,"DIPUTADO","CONCERTACION SALTENA",7,"1",2007,"2B"
"41487","SALTA",3067,"GOBERNADOR","VOTOS EN BLANCO",17,"1",2007,"2B"
"41488","SALTA",3067,"DIPUTADO","VOTOS EN BLANCO",64,"1",2007,"2B"
"41521","SALTA",1085,"GOBERNADOR","PJ - FRE.JU.VI.",112,"1",2007,"2F"
"41522","SALTA",1085,"DIPUTADO","PJ - FRE.JU.VI.",82,"1",2007,"2F"
"41527","SALTA",1085,"DIPUTADO","PARTIDO DEMOCRATA CRISTIANO",4,"1",2007,"2F"
"41533","SALTA",1085,"DIPUTADO","PARTIDO CONSERVADOR POPULAR",11,"1",2007,"2F"
"41535","SALTA",1085,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"2F"
"41536","SALTA",1085,"DIPUTADO","PARTIDO HUMANISTA",0,"1",2007,"2F"
"41545","SALTA",1085,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",1,"1",2007,"2F"
"41546","SALTA",1085,"DIPUTADO","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"2F"
"41549","SALTA",1085,"DIPUTADO","FRENTE GRANDE",29,"1",2007,"2F"
"41564","SALTA",1085,"DIPUTADO","CORRIENTE PATRIA LIBRE",18,"1",2007,"2F"
"41573","SALTA",1085,"DIPUTADO","UNION VICTORIA POPULAR",4,"1",2007,"2F"
"41577","SALTA",1085,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"2F"
"41578","SALTA",1085,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"2F"
"41582","SALTA",1085,"GOBERNADOR","PARTIDO DEL OBRERO",10,"1",2007,"2F"
"41583","SALTA",1085,"DIPUTADO","PARTIDO DEL OBRERO",14,"1",2007,"2F"
"41586","SALTA",1085,"DIPUTADO","VECINOS UNIDOS",0,"1",2007,"2F"
"41588","SALTA",1085,"GOBERNADOR","PARTIDO NUEVA GENERACION",4,"1",2007,"2F"
